Extension ID, extension name, URL
aamfmnhcipnbjjnbfmaoooiohikifefk, Сайдекс-сканер цен, https://chromewebstore.google.com/detail/%D1%81%D0%B0%D0%B9%D0%B4%D0%B5%D0%BA%D1%81-%D1%81%D0%BA%D0%B0%D0%BD%D0%B5%D1%80-%D1%86%D0%B5%D0%BD/aamfmnhcipnbjjnbfmaoooiohikifefk
bahcihkpdjlbndandplnfmejnalndgjo, Likewise, https://chrome-stats.com/d/bahcihkpdjlbndandplnfmejnalndgjo?hl=ja
blcdkmjcpgjojjffbdkckaiondfpoglh, COKN Health Info Check, https://chrome-stats.com/d/blcdkmjcpgjojjffbdkckaiondfpoglh?hl=ko
haphbbhhknaonfloinidkcmadhfjoghc, Mr. E by Easyleadz: Free B2B Phone number & Email Finder, https://chromewebstore.google.com/detail/mr-e-by-easyleadz-free-b2/haphbbhhknaonfloinidkcmadhfjoghc
jdianbbpnakhcmfkcckaboohfgnngfcc, Email Extractor, https://chromewebstore.google.com/detail/email-extractor/jdianbbpnakhcmfkcckaboohfgnngfcc
kecadfolelkekbfmmfoifpfalfedeljo, Email Finder-Kendo Sourcing Ninja, https://chromewebstore.google.com/detail/email-finder-kendo-sourci/kecadfolelkekbfmmfoifpfalfedeljo
mdfgkcdjgpgoeclhefnjgmollcckpedk, SHADE: Stylishly Sustainable, https://chromewebstore.google.com/detail/shade-stylishly-sustainab/mdfgkcdjgpgoeclhefnjgmollcckpedk
nkecaphdplhfmmbkcfnknejeonfnifbn, PowerAdSpy - Ad Intelligence, https://chrome-stats.com/d/nkecaphdplhfmmbkcfnknejeonfnifbn?hl=en
oadkgbgppkhoaaoepjbcnjejmkknaobg, DetectGPT - Detect Chat GPT Content, https://chromewebstore.google.com/detail/detectgpt-detect-chat-gpt/oadkgbgppkhoaaoepjbcnjejmkknaobg
pjmfidajplecneclhdghcgdefnmhhlca, Eco-Index by Changing Room, https://chrome-stats.com/d/pjmfidajplecneclhdghcgdefnmhhlca
